# galtileid raJ2000 decJ2000 uDerived gDerived rDerived iDerived zDerived yDerived redshift semiMajorBulge semiMinorBulge semiMajorDisk semiMinorDisk isAGN
4710404440082 1.34417772 4.43352955 21.1610083 19.3061001 17.9671694 17.4062423 17.1197111 16.9010864 0.301559299 2.35169601 2.32713294 3.82469797 1.13512397 0
4710405079058 1.54731514 4.56234394 21.0214588 19.363456 18.1705069 17.6837265 17.4368368 17.2348513 0.248274893 1.43693614 1.02033556 1.29201806 1.10831392 0
4710405830674 1.22970313 4.49506382 20.8969833 19.3091116 18.317375 17.8765863 17.6124411 17.4354038 0.153096899 1.55115044 1.53745246 1.53409731 0.719601214 0
4710405883922 1.25901854 4.40696764 20.4211888 18.8098699 17.8015792 17.3517595 17.0793 16.8954795 0.152690098 1.1920259 1.02701175 4.81700039 2.35614204 0
4710406066194 1.20199883 4.59753269 20.0964705 18.5176799 17.5479402 17.1187144 16.8686957 16.7075234 0.153404802 2.0376327 1.82843626 4.65581894 2.47304797 0
4710406086674 1.28985552 4.40863101 20.5048943 18.9040131 17.8796772 17.4189707 17.1311456 16.9299688 0.152502403 1.10351646 1.1027813 0.820576012 0.211695001 0
4710406113298 1.40871857 4.59462546 19.4940014 18.4394753 17.7895531 17.4536584 17.2147596 17.0235502 0.148311302 0.237362698 0.179771796 1.44928718 0.316080689 0
4710406406162 1.31442201 4.42376184 20.7009783 19.0935209 18.076866 17.6203668 17.3475789 17.1607208 0.156920999 1.83579683 1.31483924 1.80535698 0.704492986 0
4710406516754 1.53103643 4.52816974 20.310005 18.8496771 17.8658674 17.4420631 17.1958117 17.0213151 0.182067201 0.87188071 0.772292793 1.85331929 1.06645334 0
4710406643730 1.59954585 4.40705416 18.3255102 17.9570409 17.3191041 16.8678712 16.7104998 16.539629 0.207570404 0.75718981 0.481107295 4.1990819 2.40866995 2
4710406772754 1.38050168 4.51732919 20.8386344 19.2593506 18.2269424 17.7818264 17.5283712 17.3463768 0.182092398 1.54662156 1.20073164 1.41534555 1.3635813 0
4710406860818 1.24541268 4.25361674 20.6362531 19.0350092 18.0161391 17.5558289 17.2928422 17.1179635 0.168524995 2.91098666 1.88815892 2.68391919 1.87802553 0
4710406922258 1.37267383 4.53806897 21.1078118 19.5054153 18.4565253 17.9889947 17.7324953 17.5502602 0.192839697 1.74891365 1.35142148 1.42757666 0.783575475 0
4710407147538 1.50237503 4.5703504 20.8170039 19.2235575 18.192316 17.7320666 17.4748518 17.301377 0.181968302 2.80519986 1.92362535 1.04246926 0.3055875 0
4710407356434 1.25230113 4.45620901 20.2758126 19.0454877 18.3217202 17.9858847 17.7601256 17.6146933 0.125589803 1.64670169 1.54954875 0.435279787 0.100536004 0
4710407622674 1.47515721 4.25958169 20.4259989 18.9432282 18.0152139 17.5984557 17.3400409 17.1855983 0.136213005 1.2048521 1.08981216 3.93831778 2.25664401 2
4710408476690 1.30009025 4.22792291 20.1115716 19.0167844 18.7953131 18.688106 18.6061123 18.5904622 0.0217882004 0.0 0.0 7.1976614 6.65627766 0
4710408577042 1.45500545 4.26998889 20.3908737 19.3806093 19.0116086 18.8177238 18.6836821 18.6126063 0.0374450013 0.0 0.0 3.33359337 1.67846107 0
4710409187346 1.22983682 4.24987762 20.4603841 19.4635712 19.0973116 18.9281254 18.8194504 18.7728735 0.0699995011 0.0 0.0 3.51216745 2.94181561 0
4710409467922 1.59576012 4.52068902 19.6733941 18.727378 18.3321016 18.1286954 17.9775504 17.8871322 0.0714654028 0.0 0.0 3.87995028 1.89924872 0
4710409734162 1.49647461 4.23990899 20.785699 20.0815954 19.2673836 18.9206592 18.7260309 18.565006 0.304645985 0.208708599 0.185064405 1.76330304 0.625838816 0
4710410694674 1.54303997 4.33479854 20.6844728 19.8184827 18.8402475 18.4279082 18.1928047 18.0085687 0.336178213 1.16858554 1.07670784 2.7475028 0.676149428 0
4710410842130 1.29420793 4.23708969 18.5978307 18.4621461 18.1989549 18.0922768 18.0213322 17.9651019 0.327625692 0.241399303 0.197357297 3.44952297 1.42131245 0
4710411249682 1.39827004 4.59896271 20.2415587 19.1879263 18.6647408 18.3901503 18.1916213 18.0758735 0.0793496966 0.0 0.0 3.8853097 1.38751268 0
4710411620370 1.27090337 4.20916908 20.595841 19.1658379 18.5925233 18.3318658 18.1539 18.0502003 0.0818755031 0.400595188 0.400585592 3.15585518 1.43697333 0
4710412554258 1.52189814 4.35148455 20.3127234 19.6646859 18.9238357 18.6191774 18.4498605 18.301519 0.28811419 0.319767207 0.319099993 1.62180436 0.866117418 0
4710412677138 1.20308677 4.39722315 22.2944586 20.6029835 19.3155893 18.7609062 18.4791081 18.2672513 0.303548396 0.459013999 0.417824388 2.47090101 1.27492547 0
4710412802066 1.2803353 4.37375563 22.4837993 20.7027434 19.4358168 18.8980846 18.629753 18.4202668 0.282677203 0.989183009 0.611185908 1.70707142 0.855913997 0
4710413125650 1.41557125 4.4680859 21.1288157 19.9578939 18.8661236 18.3624016 18.0957531 17.8742173 0.293676704 1.33758187 1.16372001 0.606408179 0.127171502 0
4710413418514 1.28937736 4.37334317 22.3036164 20.578361 19.3242165 18.7645777 18.4917566 18.2839793 0.293225914 2.14135838 1.3463819 1.64687443 0.571373999 0
