# id raJ2000 decJ2000 glat glon sedFilename uDerived gDerived rDerived iDerived zDerived yDerived properMotionRa properMotionDec parallax radialVelocity isVar
872590206985 1.329682 4.2263398 -56.7255671 101.627877 starSED/kurucz/km10_5500.fits_g10_5620.gz 17.1627597 15.9335685 15.4911497 15.3423589 15.2915722 15.2649406 -0.28 20.84 0.876597 91.5 0
2390939179017 1.3271381 4.2265674 -56.7245292 101.623638 starSED/kurucz/km20_4250.fits_g00_4490.gz 26.5718654 24.3867994 23.3643929 22.947656 22.7581178 22.6469023 -3.13 2.09 0.0753009 1.8 0
2251122569225 1.3352935 4.2252619 -56.7284009 101.63689 starSED/mlt/m0.9Full.dat.gz 28.2505728 25.9849608 24.6530982 23.8686523 23.4931485 23.2995975 -4.41 -0.7 0.1034666 -112.2 4
2251126095881 1.3495661 4.2392641 -56.7197632 101.669699 starSED/kurucz/km20_4750.fits_g00_4910.gz 17.3318058 15.6724713 14.9318777 14.637341 14.5096908 14.4397497 -1.45 1.14 0.0689922 6.4 0
1677002297353 1.3492017 4.2349233 -56.7237527 101.666512 starSED/mlt/m5.1Full.dat.gz 29.55386 27.2791567 25.8453196 24.1557622 23.3238922 22.8595659 -5.82 -0.15 0.2886689 -35.7 4
2251124756489 1.3476555 4.2234162 -56.7341408 101.657062 starSED/kurucz/km25_4250.fits_g00_4410.gz 28.3512326 26.1331521 25.0486972 24.5922013 24.3811508 24.2613463 -1.06 -0.32 0.0457299 -3.6 0
2251126050825 1.3533172 4.2278008 -56.7318202 101.669388 starSED/kurucz/km45_4250.fits_g00_4270.gz 28.8631769 26.5979734 25.4056377 24.8789605 24.6282107 24.492208 -1.09 0.45 0.0476212 -25.5 0
2269760165897 1.3287839 4.2591792 -56.69421 101.645725 starSED/mlt/m3.1Full.dat.gz 30.9110997 28.7326505 27.3749108 26.1301363 25.5566478 25.3374953 -1.35 3.42 0.0675772 269.5 4
2027683776521 1.3281772 4.2469659 -56.7055683 101.637474 starSED/mlt/m5.8Full.dat.gz 30.2119259 27.9012473 26.4277 24.5517566 23.6360962 23.0231948 -5.95 5.07 0.3039485 28.5 4
1677001912329 1.3371861 4.2498666 -56.7057347 101.654669 starSED/mlt/m3.7Full.dat.gz 26.4749409 24.2563161 22.9020772 21.5516077 20.9242732 20.6316791 -2.71 1.62 0.6095369 -3.1 4
2251123517449 1.3359112 4.2376342 -56.7168958 101.645259 starSED/mlt/m2.2Full.dat.gz 29.8521518 27.6454537 26.2754328 25.2068172 24.7157268 24.5195438 -4.5 2.79 0.0862184 -20.8 4
