#id coord_ra coord_dec flags_negative base_SdssCentroid_flag base_PixelFlags_flag_edge base_PixelFlags_flag_interpolated base_PixelFlags_flag_interpolatedCenter base_PixelFlags_flag_saturated base_PixelFlags_flag_saturatedCenter base_SdssCentroid_x base_SdssCentroid_y base_SdssCentroid_xSigma base_SdssCentroid_ySigma base_SdssShape_xx base_SdssShape_xy base_SdssShape_yy base_SdssShape_xxSigma base_SdssShape_xySigma base_SdssShape_yySigma base_SdssShape_flag base_GaussianFlux_flux base_GaussianFlux_fluxSigma base_PsfFlux_flux base_PsfFlux_fluxSigma base_CircularApertureFlux_6_0_flux base_CircularApertureFlux_6_0_fluxSigma base_ClassificationExtendedness_value
427955936858996737 351.563928961 0.0595930078661 - True True False False False False 622.0 4.0 nan nan 2.34894840565 0.950015118933 6.52574809947 nan nan nan True 4775.18158548 58.7476304592 2075.02768238 41.1774674767 nan nan nan
427955936858996738 351.564369904 0.0827061032775 - True True False False False False 832.0 8.0 nan nan 1.58634668459 -0.140475579239 1.64372129902 0.0261872 0.0271344 0.0189203 False 44591.4799544 260.25466222 44335.1197736 205.797245351 44071.3085938 170.692672729 nan
427955936858996739 351.564481622 0.123539779557 - True True False False False False 1203.0 9.0 nan nan 1.97891906032 -0.515695375722 1.98031080185 0.371159 0.37142 0.271303 False 548.190357927 36.351181241 492.379402042 28.4919438381 520.328613281 43.7177963257 nan
427955936858996740 351.56513868 0.0400014013785 - True True True False False False 444.0 15.0 nan nan 2.12034294348 -0.0705648215188 1.67180733772 0.0239639 0.0188946 0.015057 False 92110.9779261 368.059732885 84856.0229514 280.395396974 88659.5 238.849975586 nan
427955936858996741 351.566458187 0.0633776795456 - False False False False False False 656.391582875 26.9859487438 0.122764 0.133519 1.44017479727 -0.0167749072538 1.47189481858 0.305701 0.312434 0.218545 False 416.664013701 28.3766859978 436.666484349 27.9424938531 430.145385742 42.9945449829 0.0
427955936858996742 351.566492616 0.0677062801878 - False False False False False False 695.720084229 27.2974904461 0.240944 0.401532 0.886227354797 0.641458160911 2.25902801368 0.370097 0.943392 0.458751 False 143.423854978 21.4682356025 147.750800603 22.5167630463 150.410186768 40.9020195007 0.0
427955936858996743 351.568445634 0.0226015649474 - False False False False False False 285.920378191 45.0593185787 0.240139 0.27588 0.693304063655 -0.616583071178 1.51887807208 0.309102 0.677174 0.377415 False 114.206114261 15.8479342949 136.978326757 22.7388306903 111.291488647 40.7445220947 0.0
427955936858996744 351.57075334 0.126290013432 - True False False False False False 1228.0 66.0 nan nan 17.015046906 -17.5725437259 53.9648394537 4.01989 12.7495 5.85181 False 1057.49107462 88.3310190382 167.26387993 22.0250784196 435.115966797 43.0450706482 nan
427955936858996745 351.571709489 0.193950681612 - False False True False False False 1842.69408492 74.6642455702 0.00504064 0.00548609 1.54005381992 -0.0874097445098 1.70691294337 0.0142251 0.0157663 0.0106049 False 130779.892101 366.583478785 128297.728215 346.997588711 128896.960938 286.427307129 0.0
427955936858996746 351.571260282 0.172727597357 - False False False False False False 1649.89236903 70.5892400514 0.0810514 0.0870087 1.6775110424 -0.0499036120659 1.8192877093 0.22169 0.240426 0.163315 False 888.847822023 33.4825724385 840.815444737 33.7210573465 974.23828125 46.8937263489 0.0
427955936858996747 351.571137026 0.051663973808 - False False False False False False 549.97407167 69.5134550767 0.310104 0.26907 1.63972859614 -0.662693898649 1.38283747107 0.57285 0.483103 0.406414 False 172.519194701 21.3089126835 181.56417024 23.3521950552 139.856948853 40.7934761047 0.0
427955936858996748 351.573011868 0.0973354284544 - False False False False False False 964.935395193 86.537999454 0.166589 0.178287 1.5824351812 -0.458564071441 1.75059402581 0.38279 0.423467 0.295299 False 331.94144907 25.4540931976 324.752181431 25.6498318558 359.108703613 42.4413909912 0.0
427955936858996749 351.574570742 0.000349595445672 - False False False False False False 83.7676206117 100.731071639 0.131516 0.130417 1.79262278273 -0.115220799285 1.85709342715 0.324097 0.335753 0.233721 False 513.913575926 29.6861545475 489.519930681 28.820330524 501.095153809 43.5678710938 0.0
427955936858996750 351.575389737 0.167178973585 - False False False False False False 1599.49280309 108.122268931 0.00400516 0.00444412 1.49054504002 -0.0759578130688 1.66909703355 0.0109592 0.0122719 0.00820981 False 199057.8477 517.44744394 197828.42221 431.896047421 196875.8125 352.851257324 0.0
427955936858996751 351.575750905 0.0410247859507 - False False True True False False 453.319772833 111.449929461 0.345359 0.281497 5.31768764002 0.970555831766 0.756752847812 2.30617 0.328187 0.683381 False 171.763649298 26.3362636103 159.605755603 22.5733457787 174.302062988 40.9908714294 0.0
427955936858996752 351.576940998 0.200187300108 - False False True True False False 1899.35918287 122.209192864 0.0983885 0.103005 1.79308561761 -0.197226896312 1.73618922696 0.285163 0.276114 0.199651 False 666.099740635 37.4529423401 627.582598002 30.5022224457 687.088989258 44.8813095093 0.0
427955936858996753 351.577452598 0.0553046589125 - False False False False False False 583.065068758 126.91207256 0.0772299 0.0862099 1.24150855926 0.110195658815 1.53312374759 0.179224 0.221322 0.141279 False 714.836068966 32.7574033305 767.710440165 33.2025391536 746.165283203 45.2884521484 0.0
427955936858996754 351.577677851 0.00889427697591 - False False True True False False 161.403951661 128.969348309 0.233817 0.302195 1.17642216544 0.551598068267 1.46530120759 0.511271 0.636818 0.437638 False 141.199704042 18.7891685742 158.494090461 22.9999877857 149.110855103 40.9172668457 0.0
427955936858996755 351.580652053 0.0867093149129 - False False False False False False 868.405374809 155.980394233 0.334797 0.237974 2.82800788433 0.445251478493 1.47915953212 0.962605 0.503481 0.503797 False 233.355884461 26.2691149112 199.88327606 23.2399455326 191.480300903 41.1982460022 1.0
427955936858996756 351.582627144 0.0548659923917 - False False False False False False 579.090075089 173.941530976 0.713934 0.669748 6.83857106861 -2.99272336529 6.88318042137 1.54121 1.55127 1.19284 False 554.376307999 45.5325251692 224.685333566 22.8887508711 427.193054199 42.9934577942 1.0
427955936858996757 351.585043947 0.0881997494655 - False False False False False False 881.956022538 195.895988132 1.05146 0.814054 0.0833333333333 0.0 0.0833333333333 nan nan nan True 171.395760282 4.62599469202 124.781638816 21.1819119847 192.653656006 41.3747215271 1.0
427955936858996758 351.58640982 0.0990469908435 - False False False False False False 980.513511339 208.305873725 0.156662 0.240924 1.20627233715 -0.388296746868 1.91520768848 0.322246 0.511632 0.296337 False 261.411238809 26.6682674793 264.26809318 24.5626594373 267.573547363 41.8021888733 0.0
427955936858996759 351.591722002 0.0157711822559 - False False False False False False 223.911386242 256.609895806 0.476688 0.477953 2.36241978931 0.314333063749 3.33284004908 0.842854 1.18908 0.712319 False 220.145257618 31.0466594069 155.632092202 22.1402957721 134.219985962 40.7881813049 1.0
427955936858996760 351.593112739 0.0242790200671 - False False True True False False 301.211261879 269.24824304 0.291412 0.209251 1.18667421151 0.000868095772521 0.31481900124 0.0357267 0.00947814 0.013012 False 104.839375276 16.2979622938 146.135239551 23.0352969248 133.317153931 40.7937469482 0.0
427955936858996761 351.59454275 0.0713905510715 - False False False False False False 729.251751391 282.232512329 0.151659 0.141347 1.20738482605 -0.0479115904718 1.04344350328 0.311802 0.269465 0.20515 False 279.979900687 25.563230637 326.149166051 26.1295743536 250.145477295 41.6854133606 0.0
427955936858996762 351.598465056 0.162997363974 - False False True True True True 1561.55062713 317.846015119 0.00409836 0.00328166 2.49287055164 -0.118320193025 2.55274594971 0.0109851 0.0112489 0.00786899 False 553032.640493 604.593312433 426064.848336 616.9672067 519222.0625 568.490234375 1.0
427955936858996763 351.600044696 0.101120555432 - False False True False False False 999.381126412 332.226919326 0.00269975 0.00278604 1.62717528356 -0.0806287940113 1.59065482728 0.00792179 0.00774399 0.00554528 False 474007.259514 815.884535219 465229.106979 661.001240275 460978.84375 537.775268555 0.0
427955936858996764 351.604828841 0.0336239860399 - False False True True False False 386.138824306 375.729161737 0.284918 0.213345 1.07859761322 -0.158989106089 0.768182664976 0.531513 0.378546 0.321979 False 108.005656456 16.5655933502 133.839934894 22.5057187102 66.2139205933 40.2650756836 0.0
