#id coord_ra coord_dec flags_negative base_SdssCentroid_flag base_PixelFlags_flag_edge base_PixelFlags_flag_interpolated base_PixelFlags_flag_interpolatedCenter base_PixelFlags_flag_saturated base_PixelFlags_flag_saturatedCenter base_SdssCentroid_x base_SdssCentroid_y base_SdssCentroid_xSigma base_SdssCentroid_ySigma base_SdssShape_xx base_SdssShape_xy base_SdssShape_yy base_SdssShape_xxSigma base_SdssShape_xySigma base_SdssShape_yySigma base_SdssShape_flag base_GaussianFlux_flux base_GaussianFlux_fluxSigma base_PsfFlux_flux base_PsfFlux_fluxSigma base_CircularApertureFlux_6_0_flux base_CircularApertureFlux_6_0_fluxSigma base_ClassificationExtendedness_value
281323062375219201 351.57054699 0.126243085864 - True False False False False False 1232.0 31.0 nan nan 5.48440014147 -1.19036149532 30.1288083558 1.13075 6.21185 1.88206 False 767.984933944 55.9818004623 215.341212828 24.9913813568 451.64932251 43.9537811279 nan
281323062375219202 351.571697563 0.193947980304 - False False True True False False 1847.05659865 41.4264059097 0.00585003 0.00616053 2.06013809095 0.0869481564263 2.26281401883 0.018543 0.0203672 0.0137529 False 141059.114445 448.889461615 136386.655383 357.708027626 137258.703125 295.578399658 0.0
281323062375219203 351.571221509 0.172699786888 - False False False False False False 1654.05257739 37.1121184785 0.0891022 0.0963912 1.92302566788 0.115530526138 2.22080887678 0.257127 0.296944 0.195692 False 894.320806872 42.2776827176 885.587420068 36.1968032856 860.417114258 46.901348114 0.0
281323062375219204 351.571137738 0.0516312563565 - False False False False False False 554.082965407 36.4073471335 0.392466 0.399282 4.38117923446 2.57064556088 3.69173324347 1.59122 1.34081 1.22581 False 229.918550543 29.523457754 176.419382414 25.1281055439 177.763900757 42.0348701477 1.0
281323062375219205 351.57299239 0.0973001809735 - False False False False False False 969.024325058 53.243955249 0.186256 0.211852 1.73387363333 -0.169832736927 2.29257328003 0.441928 0.584329 0.360628 False 345.675792126 31.1500000706 345.469129625 28.2508843937 326.74798584 43.1869926453 0.0
281323062375219206 351.575387234 0.16717364578 - False False False False False False 1603.84524803 74.9886284882 0.00443873 0.00480231 1.91330086695 0.0832479851638 2.15280270355 0.014126 0.0158943 0.0106043 False 217657.223277 453.417352456 216647.085421 453.189896083 214322.15625 368.235015869 0.0
281323062375219207 351.574562027 0.000368588403354 - False False True False False False 88.3656396208 67.5953715139 0.145586 0.133182 0.0833333333333 0.0 0.0833333333333 nan nan nan True 0.0 6.89591313991 508.131776624 31.3921578265 396.0887146 43.6082038879 0.0
281323062375219208 351.576908663 0.200154560706 - False False True False False False 1903.41870626 88.7992762421 0.114133 0.120045 2.2829287273 0.607920909208 2.13947705547 0.333063 0.312135 0.23646 False 699.586613461 39.4231069059 675.894782915 33.4105118277 677.492370605 45.629119873 0.0
281323062375219209 351.577441794 0.05528099631 - False False False False False False 587.231978134 93.7193014234 0.1039 0.0983702 1.81263381981 0.0288542856439 1.65251604838 0.251175 0.228987 0.169605 False 695.904798658 36.7105628639 746.327094315 34.5569457587 609.028869629 45.1333503723 0.0
281323062375219210 351.582734061 0.0548218254965 - False False False False False False 583.050580151 141.835330979 0.486804 0.534139 23.9655656003 0.339096511706 7.396355959 6.29475 1.94271 2.47354 False 822.692609431 62.3788855862 249.668676065 26.0816707582 533.895996094 44.566078186 1.0
281323062375219211 351.585225901 0.0882889271692 - False False False False False False 887.125765516 164.471317569 0.352803 0.503631 2.09092013151 0.700459071936 5.13706614368 0.907138 2.2287 1.02813 False 221.963162069 34.0464640788 167.312047612 24.9777754894 201.399047852 42.2125015259 1.0
281323062375219212 351.586364285 0.0989882513677 - False False False False False False 984.338137506 174.816530839 0.283223 0.31759 1.48941589806 -0.747426771824 2.28822210263 0.469585 0.721434 0.444019 False 215.851668832 26.6691292934 233.141405421 26.1654379615 270.654663086 42.6872329712 0.0
281323062375219213 351.591640006 0.0157899446432 - False False False False False False 228.42399815 222.84246393 0.192792 0.378199 1.22079062921 0.482055294954 3.58610163779 0.406388 1.19378 0.505414 False 242.066942356 30.8261404349 235.166948582 26.5412457637 272.282348633 42.6755981445 0.0
281323062375219214 351.594473453 0.0713807343761 - False False False False False False 733.481094646 248.555873296 0.21176 0.204132 2.63788744704 -0.420838030131 2.20229173675 0.612034 0.510969 0.401413 False 389.7115664 31.9681671438 355.242557558 28.2088480137 419.636962891 43.6984672546 1.0
281323062375219215 351.598437645 0.163030416006 - False False False False False False 1566.16551298 284.558192105 0.00221345 0.00236266 1.85281423983 0.122782861484 2.1186105835 0.00664226 0.00759513 0.00503203 False 863081.860341 1100.24489585 866244.511969 908.171393151 846264.1875 727.818115234 0.0
281323062375219216 351.598125782 0.0991854046396 - False False False False False False 986.108343951 281.748467638 1.31576 1.49629 7.76022393724 1.95842401562 7.03480059812 nan nan nan True 384.949585744 49.4920804662 153.423079638 24.0138388269 369.572509766 43.3899497986 1.0
281323062375219217 351.598377375 0.192267702475 - False False False False False False 1831.74708297 283.992540499 0.548414 0.833395 2.70991293136 3.04184715766 7.3280191557 0.987716 2.67093 1.39056 True 245.590497233 32.6527166464 165.457180803 24.8398590469 212.031616211 42.3297538757 1.0
281323062375219218 351.600014096 0.101095976879 - False False True False False False 1003.46441914 298.91568255 0.00283741 0.00307009 1.81444918146 0.0826464802276 2.04221693858 0.00854901 0.00962217 0.00641918 False 500289.111497 750.474594748 507536.698584 696.068161612 493613.5 556.60760498 0.0
281323062375219219 351.605314921 0.114211930434 - False False False False False False 1122.62555647 347.104112233 0.204638 0.230598 1.84394882611 1.1983682853 1.99116323116 0.630696 0.681048 0.546598 False 217.607148436 26.0332906215 239.233080373 26.5974275259 210.144058228 42.1583023071 0.0
