#id coord_ra coord_dec flags_negative base_SdssCentroid_flag base_PixelFlags_flag_edge base_PixelFlags_flag_interpolated base_PixelFlags_flag_interpolatedCenter base_PixelFlags_flag_saturated base_PixelFlags_flag_saturatedCenter base_SdssCentroid_x base_SdssCentroid_y base_SdssCentroid_xErr base_SdssCentroid_yErr base_SdssShape_xx base_SdssShape_xy base_SdssShape_yy base_SdssShape_xxErr base_SdssShape_xyErr base_SdssShape_yyErr base_SdssShape_flag base_GaussianFlux_instFlux base_GaussianFlux_instFluxErr base_PsfFlux_instFlux base_PsfFlux_instFluxErr base_CircularApertureFlux_6_0_instFlux base_CircularApertureFlux_6_0_instFluxErr base_ClassificationExtendedness_value
281323062375219201 351.57054699 0.126243085864 - True False False False False False 1232 31 nan nan 5.48440014147 -1.19036149532 30.1288083558 1.13075435162 6.21185207367 1.88206160069 False 767.984933944 55.9818004623 215.341212828 24.9913813568 451.64932251 43.9537811279 nan
281323062375219202 351.571697563 0.193947980304 - False False True True False False 1847.05659865 41.4264059097 0.00585002545267 0.00616052560508 2.06013809095 0.0869481564263 2.26281401883 0.0185429826379 0.0203672386706 0.0137528507039 False 141059.114445 448.889461615 136386.655383 357.708027626 137258.703125 295.578399658 0
281323062375219203 351.571221509 0.172699786888 - False False False False False False 1654.05257739 37.1121184785 0.0891022384167 0.0963912308216 1.92302566788 0.115530526138 2.22080887678 0.257127135992 0.296943634748 0.195692226291 False 894.320806872 42.2776827176 885.587420068 36.1968032856 860.417114258 46.901348114 0
281323062375219204 351.571137738 0.0516312563565 - False False False False False False 554.082965407 36.4073471335 0.392466038465 0.399282455444 4.38117923446 2.57064556088 3.69173324347 1.59121620655 1.34081375599 1.22580826283 False 229.918550543 29.523457754 176.419382414 25.1281055439 177.763900757 42.0348701477 1
281323062375219205 351.57299239 0.0973001809735 - False False False False False False 969.024325058 53.243955249 0.186255738139 0.211852222681 1.73387363333 -0.169832736927 2.29257328003 0.441927999258 0.584328770638 0.360627919436 False 345.675792126 31.1500000706 345.469129625 28.2508843937 326.74798584 43.1869926453 0
281323062375219206 351.575387234 0.16717364578 - False False False False False False 1603.84524803 74.9886284882 0.00443873228505 0.00480230525136 1.91330086695 0.0832479851638 2.15280270355 0.0141260363162 0.0158942956477 0.0106042716652 False 217657.223277 453.417352456 216647.085421 453.189896083 214322.15625 368.235015869 0
281323062375219207 351.574562027 0.000368588403354 - False False True False False False 88.3656396208 67.5953715139 0.145586460829 0.133182406425 0.0833333333333 0 0.0833333333333 nan nan nan True 0 6.89591313991 508.131776624 31.3921578265 396.0887146 43.6082038879 0
281323062375219208 351.576908663 0.200154560706 - False False True False False False 1903.41870626 88.7992762421 0.114133305848 0.120045252144 2.2829287273 0.607920909208 2.13947705547 0.333063215017 0.312134623528 0.236460059881 False 699.586613461 39.4231069059 675.894782915 33.4105118277 677.492370605 45.629119873 0
281323062375219209 351.577441794 0.05528099631 - False False False False False False 587.231978134 93.7193014234 0.103899978101 0.0983701646328 1.81263381981 0.0288542856439 1.65251604838 0.251174658537 0.228987321258 0.169605135918 False 695.904798658 36.7105628639 746.327094315 34.5569457587 609.028869629 45.1333503723 0
281323062375219210 351.582734061 0.0548218254965 - False False False False False False 583.050580151 141.835330979 0.486803770065 0.534138858318 23.9655656003 0.339096511706 7.396355959 6.29474782944 1.94271230698 2.47354149818 False 822.692609431 62.3788855862 249.668676065 26.0816707582 533.895996094 44.566078186 1
