#id coord_ra coord_dec flags_negative base_SdssCentroid_flag base_PixelFlags_flag_edge base_PixelFlags_flag_interpolated base_PixelFlags_flag_interpolatedCenter base_PixelFlags_flag_saturated base_PixelFlags_flag_saturatedCenter base_SdssCentroid_x base_SdssCentroid_y base_SdssCentroid_xSigma base_SdssCentroid_ySigma base_SdssShape_xx base_SdssShape_xy base_SdssShape_yy base_SdssShape_xxSigma base_SdssShape_xySigma base_SdssShape_yySigma base_SdssShape_flag base_GaussianFlux_flux base_GaussianFlux_fluxSigma base_PsfFlux_flux base_PsfFlux_fluxSigma base_CircularApertureFlux_6_0_flux base_CircularApertureFlux_6_0_fluxSigma base_ClassificationExtendedness_value
427955936858996737 351.563928961 0.0595930078661 False True True False False False False 622.0 4.0 nan nan 2.34838718674 0.950084355784 6.52560490595 nan nan nan True 4774.71673686 58.7434635183 2074.95496035 41.1774976531 nan nan nan
427955936858996738 351.564369904 0.0827061032775 False True True False False False False 832.0 8.0 nan nan 1.58633956428 -0.140475109308 1.6437142927 0.0261872 0.0271343 0.0189202 False 44591.3268706 260.25426186 44335.0602698 205.797396167 44070.8945312 170.692672729 nan
427955936858996739 351.564481622 0.123539779557 False True True False False False False 1203.0 9.0 nan nan 1.97780614752 -0.515312365834 1.97931912654 0.371036 0.37132 0.271218 False 547.922436555 36.3418213992 492.264584427 28.491964718 519.795532227 43.7177963257 nan
427955936858996740 351.56513868 0.0400014013785 False True True True False False False 444.0 15.0 nan nan 2.12033999942 -0.0705647175447 1.67180500833 0.0239639 0.0188946 0.015057 False 92110.9178528 368.059717403 84856.0305354 280.395602458 88659.265625 238.849975586 nan
427955936858996741 351.566458188 0.0633776798142 False False False False False False False 656.391585316 26.9859496107 0.122762 0.133521 1.43933037214 -0.0164748215457 1.47128536181 0.305567 0.312351 0.218468 False 416.498289518 28.3696390769 436.593941006 27.9425136888 429.811401367 42.9945449829 0.0
427955936858996742 351.566492619 0.0677062795691 False False False False False False False 695.720078614 27.2975164019 0.240944 0.401515 0.885856405208 0.641240762245 2.25742708166 0.370083 0.943083 0.458686 False 143.324549783 21.4615743177 147.674744918 22.5167785092 150.061187744 40.9020195007 0.0
427955936858996743 351.568445635 0.0226015642107 False False False False False False False 285.9203715 45.0593257955 0.240146 0.275887 0.693087843995 -0.616377194016 1.51851898697 0.309046 0.677103 0.377355 False 114.177442433 15.8460397669 136.945800387 22.7388460346 111.145057678 40.7445259094 0.0
427955936858996744 351.57075334 0.126290013432 False True False False False False False 1228.0 66.0 nan nan 16.9072158875 -17.4616088777 53.771282918 4.00004 12.7216 5.82898 False 1053.7425248 88.141859922 167.161569463 22.0250945604 434.637237549 43.0450706482 nan
427955936858996745 351.571709489 0.193950681597 False False False True False False False 1842.69408479 74.6642456483 0.00504064 0.00548609 1.54005100041 -0.087409581101 1.70690982615 0.0142251 0.0157663 0.0106049 False 130779.744994 366.583383157 128297.703082 346.997842978 128896.40625 286.427307129 0.0
427955936858996746 351.571260282 0.172727597195 False False False False False False False 1649.89236756 70.5892378002 0.0810523 0.0870081 1.67694804507 -0.0498677013124 1.8187119228 0.221644 0.240381 0.163283 False 888.58610119 33.4771407088 840.70094414 33.7210811398 973.697753906 46.8937263489 0.0
